data,IBOV,VALE3,PETR4,DOLAR
2020-01-02,118573.0,13.449999809265137,16.270000457763672,4.016300201416016
2020-01-03,117707.0,13.289999961853027,15.989999771118164,4.023399829864502
2020-01-06,116878.0,13.140000343322754,16.219999313354492,4.057000160217285
2020-01-07,116662.0,13.229999542236328,16.059999465942383,4.060400009155273
2020-01-08,116247.0,13.220000267028809,15.699999809265137,4.066199779510498
2020-01-09,115947.0,12.989999771118164,15.75,4.06279993057251
2020-01-10,115503.0,12.970000267028809,15.640000343322754,4.092100143432617
2020-01-13,117325.0,13.319999694824219,15.479999542236328,4.070499897003174
2020-01-14,117632.0,13.449999809265137,15.369999885559082,4.1458001136779785
2020-01-15,116414.0,13.260000228881836,14.869999885559082,4.13129997253418
2020-01-16,116704.0,13.15999984741211,14.890000343322754,4.174200057983398
2020-01-17,118478.0,13.630000114440918,15.15999984741211,4.183599948883057
2020-01-21,117026.0,13.25,14.770000457763672,4.188499927520752
2020-01-22,118391.0,13.420000076293945,14.770000457763672,4.210899829864502
2020-01-23,119528.0,13.300000190734863,14.90999984741211,4.181300163269043
2020-01-24,118376.0,12.84000015258789,14.770000457763672,4.169099807739258
2020-01-27,114482.0,12.0,14.210000038146973,4.1595001220703125
2020-01-28,116479.0,12.180000305175781,14.5,4.206099987030029
2020-01-29,115385.0,11.949999809265137,14.369999885559082,4.193399906158447
2020-01-30,115528.0,12.010000228881836,14.489999771118164,4.228899955749512
2020-01-31,113761.0,11.729999542236328,14.109999656677246,4.242199897766113
2020-02-03,114629.0,11.899999618530273,14.199999809265137,4.282599925994873
2020-02-04,115557.0,12.229999542236328,14.369999885559082,4.246799945831299
2020-02-05,116028.0,12.4399995803833,14.430000305175781,4.253699779510498
2020-02-06,115190.0,12.399999618530273,14.630000114440918,4.23360013961792
2020-02-07,113770.0,12.039999961853027,14.579999923706055,4.280799865722656
2020-02-10,112570.0,11.600000381469727,14.399999618530273,4.320400238037109
2020-02-11,115371.0,11.920000076293945,14.819999694824219,4.320970058441162
2020-02-12,116674.0,12.119999885559082,14.920000076293945,4.3275299072265625
2020-02-13,115662.0,11.930000305175781,14.630000114440918,4.354499816894531
2020-02-14,114381.0,11.869999885559082,14.640000343322754,4.3467698097229
2020-02-18,114977.0,12.020000457763672,14.5600004196167,4.326499938964844
2020-02-19,116518.0,12.050000190734863,14.890000343322754,4.354800224304199
2020-02-20,114586.0,11.850000381469727,14.399999618530273,4.363999843597412
2020-02-21,113681.0,11.420000076293945,14.029999732971191,4.392300128936768
2020-02-27,102984.0,9.920000076293945,12.079999923706055,4.449100017547607
2020-02-28,104172.0,9.819999694824219,12.100000381469727,4.484799861907959
2020-03-02,106625.0,10.270000457763672,12.489999771118164,4.441299915313721
2020-03-03,105537.0,10.220000267028809,12.15999984741211,4.472400188446045
2020-03-04,107224.0,10.5600004196167,12.329999923706055,4.513199806213379
2020-03-05,102233.0,10.119999885559082,11.739999771118164,4.583399772644043
2020-03-06,97997.0,9.529999732971191,10.520000457763672,4.606200218200684
2020-03-09,86067.0,7.96999979019165,7.260000228881836,4.589799880981445
